[-0.0025631627336661911, 0.0071565923749046245]
[-0.0030417929901478402, 0.0043344569566090563]
[-0.0039276842710327386, 0.0072321547024241095]
[-0.0039276842710327386, 0.0072321547024241095]
[-0.0057387107756483591, 0.01035928590304791]
[0.0010054073762313376, 0.0075474106235080551]
[0.0082601983765036024, -0.00029437484361194421]
[0.0082601983765036024, -0.00029437484361194421]
[0.0056482437955738263, 0.0029854416088261893]
[0.0052287936007406888, 0.0068770883756068546]
[0.0051312554501163898, 0.0055802988435296186]
[0.0092527636648924716, 7.4764361306600691e-05]
[0.0010752595558165545, 0.012965951506416218]
[-0.0011110861174168374, 0.016039133368888292]
[0.0013054592532246723, 0.021218451644851477]
[0.0050866745640445465, 0.01737770998828525]
[-8.5458356734013918e-05, 0.016670472973751682]
[-0.0024324693101889228, 0.01572776615939242]
[-0.0016754283866331487, 0.012868105525427165]
[-0.001614086544449167, 0.013635729681247932]
[-0.0014123182064509354, 0.014428819364745271]
[-0.0014123182064509354, 0.014428819364745271]
[-0.0014123182064509354, 0.014428819364745271]
[-0.0014123182064509354, 0.014428819364745271]
[-0.0014123182064509354, 0.014428819364745271]
[-0.00016187286856372829, 0.014505488500637043]
[0.0007370459553537323, 0.013645009923133999]
[0.0007370459553537323, 0.013645009923133999]
[-0.00069563502715275227, 0.016403836830474638]
[-0.00069563502715275227, 0.016403836830474638]
[0.0001448450793783973, 0.015197102309875365]
[-0.00069563502715275227, 0.016403836830474638]
[-0.0035020789556101661, 0.012884476609836826]
[-0.0035020789556101661, 0.012884476609836826]
[-0.0035020789556101661, 0.012884476609836826]
[-0.0019820869724014312, 0.010469488315082209]
[0.0012019912923746379, 0.015562896065002718]
[0.00088225239779804454, 0.014785796731426659]
[0.0012019912923746379, 0.015562896065002718]
[0.00088225239779804454, 0.014785796731426659]
[0.0011210669378849403, 0.011338332522471184]
[0.0011210669378849403, 0.011338332522471184]
[-0.0011939426085845195, 0.010730820362422344]
[-0.0011939426085845195, 0.010730820362422344]
[0.0011210669378849403, 0.011338332522471184]
[-0.0016754283866331487, 0.012868105525427165]
[-0.0016754283866331487, 0.012868105525427165]
[-0.0016754283866331487, 0.012868105525427165]
[-0.0016754283866331487, 0.012868105525427165]
[0.065642263938675116, 0.19055373401379261]
[-0.0016754283866331487, 0.012868105525427165]
[-0.0016754283866331487, 0.012868105525427165]
[-0.0021620370296593361, 0.014849087469415601]
[0.0010020474787826306, 0.011901024503957025]
[0.00029479107842944607, 0.0099379739190170735]
[-0.0026631608913225691, 0.013645406775270041]
[-0.0026631608913225691, 0.013645406775270041]
[-0.0026631608913225691, 0.013645406775270041]
[-0.0015994165434933816, 0.015035018274743406]
[-0.0026631608913225691, 0.013645406775270041]
[-0.0028583293663551057, 0.012892338056071262]
[-0.0028583293663551057, 0.012892338056071262]
[-0.0028583293663551057, 0.012892338056071262]
[-0.0048628973871172043, 0.011259098065964146]
[-0.00044508991169500689, 0.013669072516496517]
[-0.00044508991169500689, 0.013669072516496517]
[-0.00044508991169500689, 0.013669072516496517]
[0.0003989383602149843, 0.014964408275964791]
[0.00065204166856913659, 0.015968875873104915]
[0.00065204166856913659, 0.015968875873104915]
[0.00058177265325287664, 0.015448796392829367]
[-0.00043595912261351621, 0.015445177781904018]
[-0.00043595912261351621, 0.015445177781904018]
[-0.00043595912261351621, 0.015445177781904018]
[-0.00043595912261351621, 0.015445177781904018]
[-0.00043595912261351621, 0.015445177781904018]
[-0.0023773767753012542, 0.010754967351397582]
[-0.0021698011606972045, 0.011454158417088856]
[-0.0041753293443582695, 0.012292463990121849]
[-0.0041753293443582695, 0.012292463990121849]
[-0.0041753293443582695, 0.012292463990121849]
[-0.0041753293443582695, 0.012292463990121849]
[-0.0017278794512862738, 0.0085348524979820262]
[-0.0017278794512862738, 0.0085348524979820262]
[-0.0017278794512862738, 0.0085348524979820262]
[-1.0332592432105159e-05, 0.008101924150716755]
[0.0022995999230162045, 0.01222915450731632]
[0.0022995999230162045, 0.01222915450731632]
[-0.0016754283866331487, 0.012868105525427165]
[-0.0016754283866331487, 0.012868105525427165]
[-0.0016754283866331487, 0.012868105525427165]
[-0.00066105682520900544, 0.015492872818632986]
[-0.00066105682520900544, 0.015492872818632986]
